🕘️更新时间,#genre#
2025-09-18 06:23:49,https://zby.130519.xyz/PLTV/11/224/3221225673/index.m3u8

📺央视频道,#genre#
CCTV-1,https://zby.130519.xyz/PLTV/11/224/3221225673/index.m3u8
CCTV-3,https://zby.130519.xyz/PLTV/11/224/3221225766/index.m3u8
CCTV-4,https://zby.130519.xyz/PLTV/11/224/3221226124/index.m3u8
CCTV-5,https://zby.130519.xyz/PLTV/11/224/3221225734/index.m3u8
CCTV-6,https://zby.130519.xyz/PLTV/11/224/3221225741/index.m3u8
CCTV-7,https://zby.130519.xyz/PLTV/11/224/3221226143/index.m3u8
CCTV-8,https://zby.130519.xyz/PLTV/11/224/3221226167/index.m3u8
CCTV-10,https://zby.130519.xyz/PLTV/11/224/3221225743/index.m3u8
CCTV-11,https://zby.130519.xyz/PLTV/11/224/3221226145/index.m3u8
CCTV-13,https://zby.130519.xyz/PLTV/11/224/3221226128/index.m3u8
CCTV-14,https://zby.130519.xyz/PLTV/11/224/3221225738/index.m3u8
CCTV-16,https://zby.130519.xyz/PLTV/11/224/3221226120/index.m3u8
CETV-1,http://113.106.171.234:8899/rtp/239.20.0.213:2224
CETV-1,http://117.174.25.254:8188/rtp/239.0.0.51:5140
CETV-1,http://111.127.156.228:51234/rtp/239.29.0.95:5000
CETV-1,http://218.8.87.96:4000/rtp/229.58.190.57:5000
CETV-1,http://114.254.39.135:18888/rtp/239.3.1.57:8152
CETV-1,http://113.56.95.223:8889/rtp/228.0.0.146:7146
CETV-1,http://114.241.255.166:4022/rtp/239.3.1.57:8152
CETV-1,http://112.109.206.106:9999/rtp/239.255.40.201:8208
CETV-1,http://114.107.46.94:8188/rtp/238.1.78.158:7136
CETV-1,http://116.234.77.27:4022/rtp/239.45.1.125:5140
CETV-2,http://223.167.245.215:8001/rtp/239.45.1.52:5140
CETV-4,http://117.174.25.254:8188/rtp/239.0.0.98:5140
CETV-4,http://223.167.245.215:8001/rtp/239.45.1.50:5140

💰央视付费频道,#genre#
央视台球,http://115.171.216.58:4000/rtp/225.1.8.245:4120

📡卫视频道,#genre#
广东卫视,https://zby.130519.xyz/PLTV/11/224/3221225731/index.m3u8
北京卫视,http://satellitepull.cnr.cn/live/wxbtv/playlist.m3u8
北京卫视,https://zby.130519.xyz/PLTV/11/224/3221225724/index.m3u8
湖北卫视,https://zby.130519.xyz/PLTV/11/224/3221225729/index.m3u8
安徽卫视,https://zby.130519.xyz/PLTV/11/224/3221225739/index.m3u8
重庆卫视,https://zby.130519.xyz/PLTV/11/224/3221226171/index.m3u8
东方卫视,https://zby.130519.xyz/PLTV/11/224/3221226106/index.m3u8
